date,fa,video,climber_id,route_id
27/12/2020,0,NA,cl00070,ro00090
9/1/2024,0,NA,cl00044,ro00090
1/2/2021,0,NA,cl00071,ro00090
6/2/2023,0,NA,cl00061,ro00090
1/12/2024,0,NA,cl00076,ro00090
20/1/2024,0,NA,cl00017,ro00090
15/12/2023,0,NA,cl00067,ro00090
12/10/2023,0,NA,cl00073,ro00090
28/5/2024,1,NA,cl00067,ro00144
,0,NA,cl00049,ro00082
,0,NA,cl00048,ro00082
8/2/2021,1,NA,cl00041,ro00082
15/12/2023,0,NA,cl00036,ro00054
1/3/2018,1,NA,cl00025,ro00054
29/9/2020,1,NA,cl00035,ro00053
23/5/2024,1,NA,cl00046,ro00080
21/10/2024,0,NA,cl00017,ro00080
20/2/2016,0,NA,cl00001,ro00031
6/8/2013,1,NA,cl00004,ro00031
5/1/2018,0,NA,cl00003,ro00031
18/4/2023,0,NA,cl00018,ro00031
16/12/2024,0,NA,cl00007,ro00031
27/3/2019,0,NA,cl00025,ro00031
28/12/2019,0,NA,cl00005,ro00031
7/1/2025,0,NA,cl00026,ro00031
21/7/2022,1,NA,cl00045,ro00115
11/9/2020,1,NA,cl00046,ro00114
3/11/2022,1,NA,cl00002,ro00009
26/10/2024,1,NA,cl00088,ro00142
23/12/2021,1,NA,cl00001,ro00022
10/11/2011,1,NA,cl00001,ro00092
26/12/2023,1,NA,cl00083,ro00133
16/12/2019,1,NA,cl00002,ro00034
1/9/2023,1,NA,cl00003,ro00068
11/10/2022,1,NA,cl00006,ro00061
17/3/2023,0,NA,cl00007,ro00061
1/11/2013,1,NA,cl00043,ro00112
28/10/2022,0,NA,cl00069,ro00112
1/2/2023,1,NA,cl00046,ro00126
17/12/2021,0,NA,cl00001,ro00021
27/12/2021,1,NA,cl00005,ro00021
15/1/2015,1,NA,cl00043,ro00095
3/1/2025,0,NA,cl00081,ro00095
31/5/2024,0,NA,cl00067,ro00095
1/10/2024,1,NA,cl00109,ro00141
30/10/2019,1,NA,cl00061,ro00099
12/9/2024,0,NA,cl00045,ro00099
4/12/2013,1,NA,cl00001,ro00006
1/11/2022,1,NA,cl00046,ro00125
29/3/2023,0,NA,cl00052,ro00125
11/11/2023,0,NA,cl00010,ro00125
14/11/2024,1,NA,cl00002,ro00073
23/3/2022,1,NA,cl00001,ro00018
20/11/2022,1,NA,cl00001,ro00010
16/1/2025,1,NA,cl00042,ro00148
14/1/2025,1,NA,cl00006,ro00147
8/2/2025,1,NA,cl00111,ro00149
NA,0,NA,cl00056,ro00115
16/2/2025,0,NA,cl00005,ro00061
