"climb_name","type","country","crag","lat","long","grade","climb_id"
"Ledoborec","boulder","Czech Republic","Moravský kras","","","8C+","0c7570020d650d26fc2b962a476a4bca"
"Hallucination","boulder","Japan","Hourai","","","8C+","d10514a6c06ae75fb61b4d7afc237bfb"
"Hypothèse (assis)","boulder","France","Fontainebleau","","","8C+","47bc41c485f0e4d2f5f09474f86fdce5"
"Big Conviction","boulder","France","Fontainebleau","","","8C+","25daa60015a2a15787b14ecffa62cfd4"
"Epitaph","boulder","Japan","Hourai","","","8C+","034f79162ea9dd165d25760242ff1f4d"
"Fuck the System","boulder","Switzerland","Fionnay","","","8C+","2108af724b2d993f29f87f4538b3b1f5"
"Daños con-laterales","boulder","Russia","Djan-Tugan","","","8C+","28300c65f3ec92e2e9ef2fd3b5bd9d25"
"Euclase","boulder","Switzerland","Val Bavona","","","8C+","5181a3c99830663384a3a5230ed45a09"
"Brace for the Cure","boulder","USA","Rocky Mountain National Park","40.303968","-105.66773","8C+","3523d6954a115c40c089e6f093317b08"
"The Ice Knife Sit","boulder","USA","Guanella Pass","","","8C+","d227204e27f229385c01e54d25584f8f"
"Livin' Large","boulder","South Africa","Rocklands","","","8C/+","567fbbf450a26b51fbde58a4b2c78497"
"Superpowers","boulder","United Kingdom","Lad Stones","","","8C/+","cc8ef200a72f3fa55975bb5106983699"
"Story of 3 Worlds","boulder","Switzerland","Cresciano","","","8C+","e7acb3e405735b212f40a75197425f6f"
"Isles of Wonder SS","boulder","United Kingdom","Llyn Ogwen","","","8C+","df19902b34f587a802999397749712f3"
"Honey Badger","boulder","United Kingdom","Badger Cove","53.2441","-1.8437","8C+","904605bc2842ae80633a94062e81aaa8"
"Distortion","boulder","USA","Mount Evans","39.6184722","-105.60275","8C+","8721482709ffcae02e57a98340a5d2f2"
"Nayuta","boulder","Japan","Gero","35.79203","137.23558","8C+","76f25be0f801592032fda2933d83b498"
"Ganesh","boulder","Italy","Abruzzo e Molise","42.54997","13.49957","8C+","955f24ba190a6cf3e7b566a2c6ca4916"
"Bookkeeping","boulder","USA","Clear Creek Canyon","39.738913","-105.415436","8C+","ac7b5d8a55776826955617aaad71c52a"
"Cup of Immortality (extension)","boulder","Czech Republic","Moravský kras","","","8C/+","602cf6846bf836c1029e27f27229e88c"
"Return of the Dreamtime","boulder","Switzerland","Cresciano","46.28796","9.00612","8C+","ae8bda132b6a797e5b9cb7bcc8f7c48b"
"Maxwell's Demon sit","boulder","USA","Secret Garden","39.9667959","-105.3797932","8C+","63da3c6b40cf7be2557235df8a567eeb"
"Vecchio Leone Sit","boulder","Switzerland","Brione","","","8C+","f36098c21ca2525f4920f70369e0bf3d"
"The Lions Share","boulder","Switzerland","Brione","","","8C+","6261f755e699abe3e712b2df8a5836c7"
"Emotional Landscapes","boulder","Austria","Maltatal","47.0028","13.44965","8C/+","813de31ecb33bf518739c3ead2c7bd3f"
"Bloody Sunday","boulder","USA","The Scoop/Coal Creek","","","8C+","e8523834e2b842731474a507d8a898a7"
"Howl at the Moon sit","boulder","USA","Guanella Pass","","","8C+","e287fc3315a60217cfa4482e6a7d2b50"
"Celestite","boulder","Switzerland","Val Bavona","","","8C+","454939f20f986acdce4e0c51e90b6dda"
"Gateway [after hold broke]","boulder","Switzerland","Creciano","","","8C+","e7bf0cb3b2e43942f85f3c3b2c9dda6f"
"Hydrangea [after hold broke]","boulder","Japan","Shiobara","","","8C+","e3f760a1bbf7790579564235908ed58e"
"The Dark Side","boulder","USA","Yosemite","37.741609","-119.603679","8C+","77bb878ea6fd5b0939be7bc875d55e28"
"REM","boulder","Switzerland","Cresciano","46.28796","9.00612","8C/+","a57f7fecbc4a74be58c7fbcd4427a1cd"
"Devilution","boulder","USA","Buttermilks","","","8C+","d00bea036eadcc3674da7c8a9d94e688"
"Adrenaline","boulder","USA","Colorado","","","8C+","3ce45b72479d31690782ff07fcbbd35c"
"Regret","boulder","Japan","Ena","","","8C/+","5704447b3c67b95a3eff069e5a0c0e0d"
"Muerte por Asfixia","boulder","Spain","Manzanares El Real","","","8C+","e1fe70f3e11c7287420c3a6239faadba"
"Flow State","boulder","Italy","Val Daone","","","8C/+","b3b6e18542f028814d1481047111faad"
"Hazel Grace (sit)","boulder","Switzerland","Gottardo","46.55979","8.56489","8C/+","34ecbf3ea686fe984678a9a4b5323188"
"Tsunami","boulder","Norway","Lofoten","","","8C+","9594e091294e2caf08ae15b0d647cc83"
"Sword of Damocles","boulder","USA","Mt Blue Sky","","","8C+","874c34c42022c84b9467401e0ee42053"
"Shaolin","boulder","USA","Red Rock, Nevada","36.07693","-115.48019","9A","d32a6b53999bd766520843469edf766d"
"Sosa","boulder","USA","Little Cottonwood Canyon","","","8C+","ba535c39f36a5e3d4f6a7d18afd12536"
"Deep Fake","boulder","Switzerland","Ticino","","","8C+","f6a306a12d05180abb0163c9b57369bb"
"No One Mourns the Wicked","boulder","USA","Thunder Ridge","","","9A","06e63be4ebdea6a1e535b26f6f2ee7fe"
